project,classifier,threshold,AUC,MCC
nng,RandomForest,0.5-0.5-0.5,0.75,0.05
i3,RandomForest,0.3-0.3-0.3,0.65,0.29
baritone,XGB,0.4-0.4-0.4,0.5,0.07
mpv,XGB,0.5-0.5-0.5,0.69,0.35
janusgraph,XGB,0.6-0.6-0.6,0.77,0.32
phpredis,XGB,0.5-0.5-0.5,0.55,0.01
pinpoint,RandomForest,0.4-0.4-0.4,0.75,0.5
netdata,XGB,0.7-0.7-0.7,0.98,-0.01
realm-java,XGB,0.3-0.3-0.3,0.58,0.15
zaproxy,XGB,0.5-0.5-0.5,0.64,0.27
lxc,CatBoost,0.5-0.5-0.5,0.64,0.25
radare2,RandomForest,0.6-0.6-0.6,0.96,0.14
flatpak,RandomForest,0.7-0.7-0.7,0.83,-0.09
Terasology,CatBoost,0.5-0.5-0.5,0.62,0.2
mockito,RandomForest,0.5-0.5-0.5,0.76,0.61
Terasology,XGB,0.5-0.5-0.5,0.58,0.13
glide,CatBoost,0.5-0.5-0.5,0.38,-0.29
realm-java,CatBoost,0.5-0.5-0.5,0.67,0.23
betaflight,XGB,0.3-0.3-0.3,0.71,0.42
grpc-java,XGB,0.3-0.3-0.3,0.77,0.51
MinecraftForge,CatBoost,0.5-0.5-0.5,0.53,-0.24
glide,XGB,0.3-0.3-0.3,0.48,0
graylog2-server,XGB,0.6-0.6-0.6,0.82,0.32
janusgraph,XGB,0.5-0.5-0.5,0.64,0.21
swagger-core,RandomForest,0.7-0.7-0.7,0.93,0.61
Terasology,XGB,0.7-0.7-0.7,0.88,0.15
betaflight,CatBoost,0.5-0.5-0.5,0.81,0.34
nng,RandomForest,0.3-0.3-0.3,0.59,0.2
zaproxy,XGB,0.4-0.4-0.4,0.67,0.34
RxJava,XGB,0.5-0.5-0.5,0.79,0.25
XChange,XGB,0.5-0.5-0.5,0.67,0.32
SoftEtherVPN,XGB,0.3-0.3-0.3,0.5,-0.15
XChange,XGB,0.6-0.6-0.6,0.71,0.19
i3,CatBoost,0.5-0.5-0.5,0.69,0.22
glide,XGB,0.4-0.4-0.4,0.41,-0.18
klipper,RandomForest,0.3-0.3-0.3,0.47,-0.07
presto,XGB,0.7-0.7-0.7,0.93,-0.04
nodemcu-firmware,RandomForest,0.4-0.4-0.4,0.78,0.56
netdata,CatBoost,0.5-0.5-0.5,0.79,0.35
pygame,RandomForest,0.7-0.7-0.7,0.92,0.32
pinpoint,XGB,0.5-0.5-0.5,0.75,0.4
realm-java,XGB,0.6-0.6-0.6,0.74,0.23
zfs,XGB,0.4-0.4-0.4,0.72,0.31
shenyu,RandomForest,0.4-0.4-0.4,0.71,0.4
netdata,RandomForest,0.4-0.4-0.4,0.67,0.3
netty,XGB,0.7-0.7-0.7,0.99,-0.01
XChange,RandomForest,0.7-0.7-0.7,0.9,0.32
Terasology,XGB,0.4-0.4-0.4,0.56,0.11
light-4j,XGB,0.6-0.6-0.6,0.95,0.61
XChange,CatBoost,0.5-0.5-0.5,0.64,0.26
pinpoint,XGB,0.7-0.7-0.7,0.97,0.1
lvgl,RandomForest,0.5-0.5-0.5,0.52,0.01
framework,XGB,0.4-0.4-0.4,0.68,0.34
zfs,XGB,0.5-0.5-0.5,0.86,0.55
mpv,RandomForest,0.7-0.7-0.7,0.86,0.3
framework,RandomForest,0.3-0.3-0.3,0.71,0.42
libevent,CatBoost,0.5-0.5-0.5,0.57,0.11
AdAway,RandomForest,0.6-0.6-0.6,0.88,0.75
Rajawali,CatBoost,0.5-0.5-0.5,0.63,0.08
WinObjC,XGB,0.6-0.6-0.6,0.93,0.86
swagger-core,RandomForest,0.6-0.6-0.6,0.98,0.88
lxc,XGB,0.4-0.4-0.4,0.62,0.23
mockito,XGB,0.3-0.3-0.3,0.76,0.56
phpredis,XGB,0.7-0.7-0.7,0.88,-0.07
nng,XGB,0.5-0.5-0.5,0.75,0.3
maxwell,XGB,0.5-0.5-0.5,0.6,0.41
premake-core,XGB,0.4-0.4-0.4,0.63,0.25
libevent,RandomForest,0.7-0.7-0.7,0.75,0
sway,RandomForest,0.7-0.7-0.7,0.82,0.1
swagger-core,XGB,0.6-0.6-0.6,0.83,0.39
i3,RandomForest,0.6-0.6-0.6,0.82,0.33
light-4j,RandomForest,0.4-0.4-0.4,0.62,0.1
pinpoint,XGB,0.6-0.6-0.6,0.92,0.25
checkstyle,RandomForest,0.3-0.3-0.3,0.68,0.36
InfiniTime,XGB,0.3-0.3-0.3,0.88,0.71
nng,XGB,0.4-0.4-0.4,0.62,0.19
libevent,XGB,0.6-0.6-0.6,0.67,0.05
cleanflight,RandomForest,0.5-0.5-0.5,0.87,0.69
InfiniTime,CatBoost,0.5-0.5-0.5,0.71,0.43
glide,RandomForest,0.3-0.3-0.3,0.59,0.17
Terasology,RandomForest,0.6-0.6-0.6,0.71,0.15
SoftEtherVPN,XGB,0.5-0.5-0.5,0.47,-0.1
lxc,XGB,0.7-0.7-0.7,0.9,0.26
libevent,XGB,0.4-0.4-0.4,0.39,-0.21
Mekanism,XGB,0.7-0.7-0.7,0.95,0.16
MinecraftForge,RandomForest,0.7-0.7-0.7,0.9,-0.05
pygame,CatBoost,0.5-0.5-0.5,0.74,0.44
XChange,RandomForest,0.3-0.3-0.3,0.64,0.14
dynamorio,RandomForest,0.3-0.3-0.3,0.72,0.45
WinObjC,RandomForest,0.5-0.5-0.5,0.94,0.88
libevent,RandomForest,0.5-0.5-0.5,0.59,0.13
InfiniTime,XGB,0.7-0.7-0.7,0.8,0.57
gatk,RandomForest,0.5-0.5-0.5,0.74,0.08
FreeRDP,XGB,0.3-0.3-0.3,0.64,0.11
presto,CatBoost,0.5-0.5-0.5,0.72,0.31
i3,RandomForest,0.5-0.5-0.5,0.68,0.19
flatpak,XGB,0.5-0.5-0.5,0.67,0.25
nodemcu-firmware,RandomForest,0.3-0.3-0.3,0.78,0.56
shardingsphere-elasticjob,RandomForest,0.6-0.6-0.6,0.92,0.55
checkstyle,CatBoost,0.5-0.5-0.5,0.7,-0.04
shenyu,XGB,0.3-0.3-0.3,0.79,0.57
sway,XGB,0.7-0.7-0.7,0.76,0.16
inav,RandomForest,0.6-0.6-0.6,0.96,0.86
netdata,XGB,0.6-0.6-0.6,0.9,0.46
dynamorio,RandomForest,0.5-0.5-0.5,0.7,0.03
betaflight,RandomForest,0.4-0.4-0.4,0.7,0.32
lxc,RandomForest,0.5-0.5-0.5,0.63,0.24
zaproxy,RandomForest,0.4-0.4-0.4,0.67,0.35
maxwell,RandomForest,0.6-0.6-0.6,0.8,0.61
nodemcu-firmware,XGB,0.3-0.3-0.3,0.75,0.49
redis,XGB,0.5-0.5-0.5,0.71,0.13
phpredis,RandomForest,0.7-0.7-0.7,0.87,0.14
sway,RandomForest,0.4-0.4-0.4,0.6,0.19
flatpak,XGB,0.4-0.4-0.4,0.5,-0.02
samtools,XGB,0.5-0.5-0.5,0.71,0.26
cleanflight,XGB,0.6-0.6-0.6,0.95,0.84
premake-core,XGB,0.5-0.5-0.5,0.86,0.69
presto,XGB,0.5-0.5-0.5,0.7,0.27
SoftEtherVPN,RandomForest,0.5-0.5-0.5,0.5,-0.02
framework,XGB,0.3-0.3-0.3,0.69,0.37
dynamorio,CatBoost,0.5-0.5-0.5,0.8,0.28
druid,XGB,0.3-0.3-0.3,0.65,0.26
pinpoint,XGB,0.4-0.4-0.4,0.73,0.47
AdAway,XGB,0.5-0.5-0.5,0.92,0.83
RxJava,XGB,0.3-0.3-0.3,0.62,0.24
zfs,RandomForest,0.4-0.4-0.4,0.74,0.39
jabref,XGB,0.4-0.4-0.4,0.64,0.28
InfiniTime,RandomForest,0.6-0.6-0.6,0.79,0.56
Rajawali,XGB,0.6-0.6-0.6,0.86,0.12
zaproxy,RandomForest,0.7-0.7-0.7,0.9,0.35
samtools,RandomForest,0.5-0.5-0.5,0.58,-0.1
cleanflight,XGB,0.7-0.7-0.7,1,1
pygame,RandomForest,0.6-0.6-0.6,0.76,0.32
flatpak,XGB,0.6-0.6-0.6,0.79,0.37
Terasology,XGB,0.3-0.3-0.3,0.62,0.11
XChange,XGB,0.4-0.4-0.4,0.6,0.19
janusgraph,XGB,0.7-0.7-0.7,0.8,-0.05
flatpak,XGB,0.7-0.7-0.7,0.91,0.23
Rajawali,XGB,0.3-0.3-0.3,0.58,0.03
netdata,RandomForest,0.3-0.3-0.3,0.65,0.29
mpv,RandomForest,0.6-0.6-0.6,0.75,0.36
netty,RandomForest,0.4-0.4-0.4,0.65,0.2
netty,XGB,0.3-0.3-0.3,0.63,0.25
grpc-java,CatBoost,0.5-0.5-0.5,0.84,0.48
klipper,RandomForest,0.4-0.4-0.4,0.5,0
premake-core,RandomForest,0.4-0.4-0.4,0.8,0.66
swagger-core,XGB,0.7-0.7-0.7,0.91,0.55
betaflight,XGB,0.4-0.4-0.4,0.73,0.36
nodemcu-firmware,CatBoost,0.5-0.5-0.5,0.77,0.5
RxJava,XGB,0.4-0.4-0.4,0.68,0.24
grpc-java,XGB,0.5-0.5-0.5,0.95,0.84
realm-java,RandomForest,0.5-0.5-0.5,0.64,0.2
light-4j,XGB,0.4-0.4-0.4,0.6,0.07
shardingsphere-elasticjob,RandomForest,0.7-0.7-0.7,0.92,0.67
pinpoint,RandomForest,0.5-0.5-0.5,0.75,0.4
lvgl,CatBoost,0.5-0.5-0.5,0.61,0.17
FreeRDP,CatBoost,0.5-0.5-0.5,0.6,0.2
InfiniTime,RandomForest,0.4-0.4-0.4,0.79,0.6
premake-core,XGB,0.3-0.3-0.3,0.78,0.4
presto,RandomForest,0.6-0.6-0.6,0.78,0.12
swagger-core,RandomForest,0.3-0.3-0.3,0.57,0.14
jabref,XGB,0.3-0.3-0.3,0.68,0.29
netdata,XGB,0.3-0.3-0.3,0.7,0.36
zaproxy,XGB,0.3-0.3-0.3,0.67,0.26
hashcat,XGB,0.7-0.7-0.7,0.88,0.36
shenyu,CatBoost,0.5-0.5-0.5,0.77,0.24
pygame,RandomForest,0.5-0.5-0.5,0.72,0.39
collectd,RandomForest,0.6-0.6-0.6,0.74,0.04
klipper,XGB,0.7-0.7-0.7,0.93,0.63
Rajawali,RandomForest,0.6-0.6-0.6,0.96,-0.02
premake-core,CatBoost,0.5-0.5-0.5,0.92,0.78
FreeRDP,RandomForest,0.7-0.7-0.7,0.89,0.3
shenyu,XGB,0.4-0.4-0.4,0.75,0.44
dynamorio,RandomForest,0.6-0.6-0.6,0.83,-0.09
Mekanism,CatBoost,0.5-0.5-0.5,0.63,0.17
WinObjC,RandomForest,0.4-0.4-0.4,0.92,0.85
Terasology,XGB,0.6-0.6-0.6,0.71,0.11
baritone,XGB,0.3-0.3-0.3,0.44,-0.07
netdata,XGB,0.5-0.5-0.5,0.71,0.16
checkstyle,RandomForest,0.6-0.6-0.6,0.98,0
i3,XGB,0.3-0.3-0.3,0.52,0.05
MinecraftForge,XGB,0.4-0.4-0.4,0.35,-0.31
shardingsphere-elasticjob,RandomForest,0.3-0.3-0.3,0.54,0.13
FreeRDP,RandomForest,0.4-0.4-0.4,0.58,0.15
FreeRDP,XGB,0.7-0.7-0.7,0.89,0.28
cleanflight,RandomForest,0.7-0.7-0.7,0.99,0.94
gatk,XGB,0.4-0.4-0.4,0.68,0.16
InfiniTime,RandomForest,0.7-0.7-0.7,0.86,0.59
cleanflight,RandomForest,0.4-0.4-0.4,0.75,0.5
pygame,XGB,0.6-0.6-0.6,0.79,0.44
shardingsphere-elasticjob,XGB,0.7-0.7-0.7,0.79,0
janusgraph,XGB,0.4-0.4-0.4,0.62,0.23
swagger-core,RandomForest,0.4-0.4-0.4,0.59,0.12
netty,CatBoost,0.5-0.5-0.5,0.72,0.11
zaproxy,CatBoost,0.5-0.5-0.5,0.68,0.33
nodemcu-firmware,XGB,0.4-0.4-0.4,0.71,0.43
inav,CatBoost,0.5-0.5-0.5,0.89,0.76
mpv,XGB,0.4-0.4-0.4,0.66,0.31
framework,RandomForest,0.5-0.5-0.5,0.65,0.21
InfiniTime,XGB,0.5-0.5-0.5,0.75,0.5
collectd,RandomForest,0.5-0.5-0.5,0.66,0.17
RxJava,RandomForest,0.5-0.5-0.5,0.79,0.34
iceberg,RandomForest,0.3-0.3-0.3,0.76,0.52
Terasology,RandomForest,0.7-0.7-0.7,0.87,0.23
phpredis,RandomForest,0.3-0.3-0.3,0.56,-0.07
light-4j,RandomForest,0.5-0.5-0.5,0.69,0.07
graylog2-server,XGB,0.4-0.4-0.4,0.61,0.24
netty,RandomForest,0.7-0.7-0.7,0.97,-0.01
i3,XGB,0.7-0.7-0.7,0.87,0.24
betaflight,RandomForest,0.6-0.6-0.6,0.9,0.37
checkstyle,XGB,0.5-0.5-0.5,0.82,0.45
Rajawali,XGB,0.4-0.4-0.4,0.58,0.21
mockito,CatBoost,0.5-0.5-0.5,0.95,0.91
SoftEtherVPN,CatBoost,0.5-0.5-0.5,0.49,-0.02
MinecraftForge,RandomForest,0.4-0.4-0.4,0.5,-0.01
graylog2-server,XGB,0.3-0.3-0.3,0.57,0.16
grpc-java,RandomForest,0.5-0.5-0.5,0.91,0.54
nng,XGB,0.7-0.7-0.7,0.88,-0.06
jabref,RandomForest,0.5-0.5-0.5,0.75,0.46
nng,XGB,0.6-0.6-0.6,0.81,0.23
swagger-core,XGB,0.5-0.5-0.5,0.72,0.25
InfiniTime,XGB,0.4-0.4-0.4,0.82,0.62
baritone,XGB,0.5-0.5-0.5,0.56,0.13
nng,RandomForest,0.6-0.6-0.6,0.86,0.23
premake-core,XGB,0.6-0.6-0.6,0.84,0.46
netty,XGB,0.6-0.6-0.6,0.84,0.01
grpc-java,XGB,0.7-0.7-0.7,0.97,0.66
druid,XGB,0.5-0.5-0.5,0.86,0.03
inav,XGB,0.3-0.3-0.3,0.75,0.46
sway,XGB,0.4-0.4-0.4,0.62,0.25
netdata,RandomForest,0.6-0.6-0.6,0.93,0.53
Mekanism,XGB,0.3-0.3-0.3,0.65,0.25
glide,XGB,0.6-0.6-0.6,0.69,-0.01
betaflight,XGB,0.5-0.5-0.5,0.8,0.27
samtools,RandomForest,0.3-0.3-0.3,0.79,0.32
inav,RandomForest,0.3-0.3-0.3,0.78,0.51
gatk,XGB,0.3-0.3-0.3,0.58,0.17
mockito,RandomForest,0.3-0.3-0.3,0.57,0.26
Rajawali,XGB,0.5-0.5-0.5,0.67,0.23
Mekanism,RandomForest,0.3-0.3-0.3,0.6,0.15
redis,RandomForest,0.6-0.6-0.6,0.83,0.11
sway,XGB,0.3-0.3-0.3,0.69,0.27
shenyu,XGB,0.7-0.7-0.7,0.91,0.28
RxJava,RandomForest,0.3-0.3-0.3,0.67,0.35
pygame,RandomForest,0.4-0.4-0.4,0.63,0.27
lxc,XGB,0.6-0.6-0.6,0.7,0.33
RxJava,RandomForest,0.4-0.4-0.4,0.73,0.36
mockito,RandomForest,0.4-0.4-0.4,0.81,0.63
pygame,XGB,0.3-0.3-0.3,0.61,0.17
flatpak,CatBoost,0.5-0.5-0.5,0.58,0.11
SoftEtherVPN,RandomForest,0.7-0.7-0.7,0.72,0.02
baritone,RandomForest,0.3-0.3-0.3,0.56,0.13
i3,XGB,0.5-0.5-0.5,0.59,0.07
baritone,XGB,0.6-0.6-0.6,0.69,0.09
shardingsphere-elasticjob,CatBoost,0.5-0.5-0.5,0.54,0.19
samtools,RandomForest,0.6-0.6-0.6,0.67,0.16
dynamorio,XGB,0.5-0.5-0.5,0.72,0.19
phpredis,XGB,0.4-0.4-0.4,0.49,-0.01
betaflight,RandomForest,0.5-0.5-0.5,0.78,0.34
betaflight,XGB,0.6-0.6-0.6,0.89,0.37
baritone,CatBoost,0.5-0.5-0.5,0.56,0.22
libevent,XGB,0.7-0.7-0.7,0.8,0.08
netdata,RandomForest,0.7-0.7-0.7,0.98,-0.01
presto,XGB,0.3-0.3-0.3,0.64,0.29
nodemcu-firmware,RandomForest,0.7-0.7-0.7,0.78,0.19
open5gs,CatBoost,0.5-0.5-0.5,0.77,0.41
pinpoint,RandomForest,0.7-0.7-0.7,0.99,0.28
redis,XGB,0.4-0.4-0.4,0.62,0.19
shenyu,RandomForest,0.7-0.7-0.7,0.95,0
swagger-core,XGB,0.3-0.3-0.3,0.76,0.52
lvgl,RandomForest,0.4-0.4-0.4,0.62,0.23
sway,RandomForest,0.3-0.3-0.3,0.63,0.06
framework,RandomForest,0.4-0.4-0.4,0.69,0.37
Mekanism,XGB,0.6-0.6-0.6,0.9,0.28
WinObjC,RandomForest,0.3-0.3-0.3,0.94,0.85
collectd,XGB,0.7-0.7-0.7,0.89,0.21
iceberg,CatBoost,0.5-0.5-0.5,0.84,0.63
inav,RandomForest,0.4-0.4-0.4,0.8,0.6
zfs,RandomForest,0.3-0.3-0.3,0.64,0.27
AdAway,RandomForest,0.7-0.7-0.7,0.94,0.85
inav,XGB,0.5-0.5-0.5,0.85,0.68
RxJava,CatBoost,0.5-0.5-0.5,0.81,0.37
open5gs,XGB,0.7-0.7-0.7,0.95,0.42
shenyu,XGB,0.6-0.6-0.6,0.89,0.35
redis,XGB,0.7-0.7-0.7,0.89,0.28
zaproxy,RandomForest,0.5-0.5-0.5,0.71,0.4
grpc-java,RandomForest,0.6-0.6-0.6,0.96,0.78
Mekanism,RandomForest,0.6-0.6-0.6,0.87,0.23
Mekanism,XGB,0.4-0.4-0.4,0.58,0.15
realm-java,XGB,0.5-0.5-0.5,0.62,0.12
radare2,RandomForest,0.3-0.3-0.3,0.64,0.29
mockito,XGB,0.4-0.4-0.4,0.71,0.43
maxwell,XGB,0.6-0.6-0.6,0.4,0
cleanflight,XGB,0.3-0.3-0.3,0.74,0.38
samtools,XGB,0.6-0.6-0.6,0.62,0.12
netty,RandomForest,0.6-0.6-0.6,0.87,0.24
klipper,XGB,0.5-0.5-0.5,0.63,0.15
XChange,XGB,0.3-0.3-0.3,0.58,0.07
gatk,CatBoost,0.5-0.5-0.5,0.81,0.39
light-4j,RandomForest,0.6-0.6-0.6,0.89,-0.06
framework,RandomForest,0.6-0.6-0.6,0.74,0.2
swagger-core,RandomForest,0.5-0.5-0.5,0.78,0.37
netty,RandomForest,0.5-0.5-0.5,0.76,0.2
lvgl,XGB,0.3-0.3-0.3,0.67,0.23
open5gs,RandomForest,0.4-0.4-0.4,0.72,0.38
lvgl,RandomForest,0.3-0.3-0.3,0.53,0
sway,XGB,0.5-0.5-0.5,0.71,0.36
FreeRDP,XGB,0.5-0.5-0.5,0.62,0.24
pinpoint,RandomForest,0.6-0.6-0.6,0.91,0.24
