project,classifier,threshold,AUC,MCC
glide,RandomForest,0.5-0.5-0.5,0.55,0.04
jabref,XGB,0.6-0.6-0.6,0.76,0.3
hashcat,RandomForest,0.3-0.3-0.3,0.7,0.31
flatpak,RandomForest,0.6-0.6-0.6,0.74,0.22
lxc,RandomForest,0.6-0.6-0.6,0.69,0.25
Mekanism,RandomForest,0.5-0.5-0.5,0.6,0.16
XChange,RandomForest,0.4-0.4-0.4,0.61,0.22
betaflight,XGB,0.7-0.7-0.7,0.98,-0.01
i3,RandomForest,0.4-0.4-0.4,0.55,0.04
glide,XGB,0.5-0.5-0.5,0.62,-0.09
zaproxy,XGB,0.7-0.7-0.7,0.87,0.23
mpv,XGB,0.3-0.3-0.3,0.65,0.28
zaproxy,XGB,0.6-0.6-0.6,0.71,0.18
radare2,XGB,0.6-0.6-0.6,0.95,-0.03
dynamorio,RandomForest,0.4-0.4-0.4,0.67,0.39
zfs,CatBoost,0.5-0.5-0.5,0.9,0.62
gatk,XGB,0.7-0.7-0.7,0.97,0
libevent,RandomForest,0.6-0.6-0.6,0.7,0.05
nng,XGB,0.3-0.3-0.3,0.61,0.22
druid,RandomForest,0.7-0.7-0.7,0.96,-0.01
shardingsphere-elasticjob,RandomForest,0.5-0.5-0.5,0.75,-0.13
framework,CatBoost,0.5-0.5-0.5,0.65,0.26
redis,RandomForest,0.7-0.7-0.7,0.89,0.07
phpredis,XGB,0.3-0.3-0.3,0.61,0.04
mockito,XGB,0.6-0.6-0.6,0.9,0.77
shardingsphere-elasticjob,XGB,0.4-0.4-0.4,0.54,0.09
SoftEtherVPN,RandomForest,0.4-0.4-0.4,0.5,0
zfs,RandomForest,0.6-0.6-0.6,0.91,0.61
hashcat,CatBoost,0.5-0.5-0.5,0.61,0.22
phpredis,RandomForest,0.4-0.4-0.4,0.58,0.15
light-4j,CatBoost,0.5-0.5-0.5,0.73,0.18
lvgl,XGB,0.6-0.6-0.6,0.66,0.15
presto,RandomForest,0.3-0.3-0.3,0.67,0.33
open5gs,RandomForest,0.7-0.7-0.7,0.96,0.31
Rajawali,RandomForest,0.3-0.3-0.3,0.58,0.08
shardingsphere-elasticjob,XGB,0.3-0.3-0.3,0.62,0.22
graylog2-server,RandomForest,0.4-0.4-0.4,0.57,0.13
WinObjC,CatBoost,0.5-0.5-0.5,0.94,0.88
MinecraftForge,XGB,0.7-0.7-0.7,0.89,0.17
nng,RandomForest,0.4-0.4-0.4,0.58,0.13
hashcat,XGB,0.6-0.6-0.6,0.83,0.31
RxJava,RandomForest,0.6-0.6-0.6,0.92,0.04
presto,RandomForest,0.7-0.7-0.7,0.94,-0.03
iceberg,XGB,0.5-0.5-0.5,0.85,0.63
iceberg,XGB,0.6-0.6-0.6,0.95,0.66
dynamorio,XGB,0.4-0.4-0.4,0.67,0.31
phpredis,CatBoost,0.5-0.5-0.5,0.49,-0.08
redis,RandomForest,0.3-0.3-0.3,0.6,0.21
nodemcu-firmware,XGB,0.6-0.6-0.6,0.81,0.45
betaflight,RandomForest,0.7-0.7-0.7,0.98,-0.01
open5gs,XGB,0.5-0.5-0.5,0.8,0.43
janusgraph,CatBoost,0.5-0.5-0.5,0.61,0.14
flatpak,RandomForest,0.3-0.3-0.3,0.67,0.2
redis,XGB,0.3-0.3-0.3,0.66,0.31
mpv,RandomForest,0.3-0.3-0.3,0.68,0.32
druid,RandomForest,0.6-0.6-0.6,0.9,0.01
graylog2-server,RandomForest,0.6-0.6-0.6,0.89,0.48
graylog2-server,XGB,0.7-0.7-0.7,0.86,0.32
iceberg,RandomForest,0.4-0.4-0.4,0.82,0.6
hashcat,XGB,0.3-0.3-0.3,0.71,0.35
zfs,XGB,0.3-0.3-0.3,0.69,0.39
gatk,XGB,0.5-0.5-0.5,0.78,0.3
Mekanism,RandomForest,0.4-0.4-0.4,0.56,0.12
klipper,RandomForest,0.5-0.5-0.5,0.8,0.56
radare2,RandomForest,0.5-0.5-0.5,0.79,0.14
FreeRDP,XGB,0.4-0.4-0.4,0.56,0.11
grpc-java,RandomForest,0.7-0.7-0.7,0.96,0.52
radare2,XGB,0.4-0.4-0.4,0.64,0.18
light-4j,XGB,0.7-0.7-0.7,0.95,-0.03
collectd,XGB,0.3-0.3-0.3,0.55,0.1
XChange,XGB,0.7-0.7-0.7,0.85,0.16
nodemcu-firmware,RandomForest,0.5-0.5-0.5,0.72,0.42
shenyu,RandomForest,0.6-0.6-0.6,0.88,0.3
shardingsphere-elasticjob,XGB,0.5-0.5-0.5,0.75,0.47
maxwell,CatBoost,0.5-0.5-0.5,0.6,0.41
shenyu,RandomForest,0.5-0.5-0.5,0.8,0.43
libevent,RandomForest,0.4-0.4-0.4,0.5,0.01
WinObjC,XGB,0.3-0.3-0.3,0.9,0.76
graylog2-server,RandomForest,0.7-0.7-0.7,0.8,-0.11
jabref,RandomForest,0.7-0.7-0.7,0.84,0.38
iceberg,XGB,0.3-0.3-0.3,0.79,0.57
flatpak,XGB,0.3-0.3-0.3,0.63,0.17
realm-java,RandomForest,0.6-0.6-0.6,0.73,0.22
grpc-java,XGB,0.6-0.6-0.6,0.94,0.6
lvgl,XGB,0.4-0.4-0.4,0.5,-0.01
realm-java,RandomForest,0.4-0.4-0.4,0.62,0.22
inav,XGB,0.6-0.6-0.6,0.97,0.89
Terasology,RandomForest,0.5-0.5-0.5,0.59,0.12
mpv,XGB,0.6-0.6-0.6,0.78,0.35
swagger-core,CatBoost,0.5-0.5-0.5,0.61,0.08
SoftEtherVPN,XGB,0.7-0.7-0.7,0.76,-0.04
janusgraph,RandomForest,0.6-0.6-0.6,0.7,0.08
shenyu,XGB,0.5-0.5-0.5,0.77,0.34
phpredis,XGB,0.6-0.6-0.6,0.7,0.16
janusgraph,RandomForest,0.4-0.4-0.4,0.56,0.11
XChange,RandomForest,0.5-0.5-0.5,0.6,0.18
redis,RandomForest,0.5-0.5-0.5,0.69,0.14
phpredis,RandomForest,0.6-0.6-0.6,0.56,-0.02
SoftEtherVPN,XGB,0.4-0.4-0.4,0.45,-0.12
netty,XGB,0.5-0.5-0.5,0.74,0.18
presto,XGB,0.4-0.4-0.4,0.69,0.36
janusgraph,RandomForest,0.7-0.7-0.7,0.82,0.28
nng,CatBoost,0.5-0.5-0.5,0.73,0.1
gatk,RandomForest,0.4-0.4-0.4,0.61,0.03
collectd,XGB,0.6-0.6-0.6,0.81,0.13
cleanflight,XGB,0.5-0.5-0.5,0.84,0.67
samtools,RandomForest,0.4-0.4-0.4,0.38,-0.37
radare2,XGB,0.5-0.5-0.5,0.78,0.17
MinecraftForge,XGB,0.6-0.6-0.6,0.83,0.16
mockito,RandomForest,0.6-0.6-0.6,0.9,0.77
maxwell,RandomForest,0.3-0.3-0.3,0.8,0
lvgl,XGB,0.5-0.5-0.5,0.54,0.02
InfiniTime,XGB,0.6-0.6-0.6,0.73,0.46
radare2,CatBoost,0.5-0.5-0.5,0.82,0.15
lvgl,RandomForest,0.6-0.6-0.6,0.71,0.11
shenyu,RandomForest,0.3-0.3-0.3,0.66,0.34
flatpak,RandomForest,0.4-0.4-0.4,0.65,0.3
iceberg,RandomForest,0.5-0.5-0.5,0.84,0.62
baritone,RandomForest,0.5-0.5-0.5,0.88,0.76
XChange,RandomForest,0.6-0.6-0.6,0.75,0.31
i3,XGB,0.6-0.6-0.6,0.82,0.31
open5gs,RandomForest,0.5-0.5-0.5,0.73,0.3
klipper,XGB,0.6-0.6-0.6,0.9,0.36
inav,XGB,0.4-0.4-0.4,0.83,0.67
i3,RandomForest,0.7-0.7-0.7,0.87,0.24
framework,XGB,0.5-0.5-0.5,0.7,0.33
maxwell,XGB,0.4-0.4-0.4,1,1
RxJava,RandomForest,0.7-0.7-0.7,0.94,0.14
phpredis,RandomForest,0.5-0.5-0.5,0.52,0.01
InfiniTime,RandomForest,0.5-0.5-0.5,0.82,0.64
Rajawali,RandomForest,0.4-0.4-0.4,0.56,0.08
SoftEtherVPN,XGB,0.6-0.6-0.6,0.53,-0.1
druid,RandomForest,0.5-0.5-0.5,0.86,0.04
swagger-core,XGB,0.4-0.4-0.4,0.67,0.33
WinObjC,RandomForest,0.6-0.6-0.6,0.95,0.9
presto,XGB,0.6-0.6-0.6,0.78,0.24
netdata,RandomForest,0.5-0.5-0.5,0.73,0.2
janusgraph,XGB,0.3-0.3-0.3,0.59,0.13
premake-core,RandomForest,0.5-0.5-0.5,0.86,0.68
graylog2-server,RandomForest,0.5-0.5-0.5,0.5,-0.14
lxc,RandomForest,0.7-0.7-0.7,0.87,0.17
Mekanism,RandomForest,0.7-0.7-0.7,0.95,0.24
lxc,RandomForest,0.4-0.4-0.4,0.58,0.14
redis,XGB,0.6-0.6-0.6,0.79,0.15
glide,RandomForest,0.6-0.6-0.6,0.66,0.13
inav,RandomForest,0.7-0.7-0.7,0.97,0.84
InfiniTime,RandomForest,0.3-0.3-0.3,0.93,0.83
samtools,XGB,0.7-0.7-0.7,0.75,0.1
MinecraftForge,RandomForest,0.6-0.6-0.6,0.65,-0.13
framework,XGB,0.7-0.7-0.7,0.87,0.08
zaproxy,RandomForest,0.3-0.3-0.3,0.68,0.29
MinecraftForge,RandomForest,0.3-0.3-0.3,0.57,0.08
gatk,XGB,0.6-0.6-0.6,0.85,0.19
libevent,XGB,0.5-0.5-0.5,0.45,-0.16
FreeRDP,XGB,0.6-0.6-0.6,0.68,0.29
open5gs,RandomForest,0.6-0.6-0.6,0.79,0.28
sway,XGB,0.6-0.6-0.6,0.72,0.38
netty,RandomForest,0.3-0.3-0.3,0.69,0.39
checkstyle,XGB,0.6-0.6-0.6,0.93,-0.03
sway,CatBoost,0.5-0.5-0.5,0.6,0.18
druid,RandomForest,0.3-0.3-0.3,0.66,0.27
realm-java,XGB,0.7-0.7-0.7,0.94,0.2
redis,CatBoost,0.5-0.5-0.5,0.71,0.24
RxJava,XGB,0.7-0.7-0.7,0.96,0.21
maxwell,RandomForest,0.4-0.4-0.4,0.6,0.17
realm-java,XGB,0.4-0.4-0.4,0.6,0.19
WinObjC,XGB,0.5-0.5-0.5,0.95,0.9
inav,XGB,0.7-0.7-0.7,0.98,0.88
SoftEtherVPN,RandomForest,0.6-0.6-0.6,0.54,-0.16
Terasology,RandomForest,0.3-0.3-0.3,0.61,0.11
gatk,RandomForest,0.6-0.6-0.6,0.86,0.09
janusgraph,RandomForest,0.3-0.3-0.3,0.57,0.07
lxc,XGB,0.5-0.5-0.5,0.62,0.24
FreeRDP,RandomForest,0.3-0.3-0.3,0.64,0.15
pinpoint,CatBoost,0.5-0.5-0.5,0.74,0.42
cleanflight,RandomForest,0.3-0.3-0.3,0.74,0.4
shardingsphere-elasticjob,RandomForest,0.4-0.4-0.4,0.62,0.18
zfs,RandomForest,0.5-0.5-0.5,0.85,0.5
MinecraftForge,XGB,0.3-0.3-0.3,0.61,0.12
jabref,XGB,0.7-0.7-0.7,0.88,0.45
samtools,XGB,0.3-0.3-0.3,0.62,0.12
graylog2-server,XGB,0.5-0.5-0.5,0.64,0.19
netty,XGB,0.4-0.4-0.4,0.65,0.2
baritone,RandomForest,0.7-0.7-0.7,0.94,0
mpv,RandomForest,0.5-0.5-0.5,0.69,0.32
maxwell,RandomForest,0.5-0.5-0.5,0.4,-0.17
pygame,RandomForest,0.3-0.3-0.3,0.67,0.26
nodemcu-firmware,XGB,0.7-0.7-0.7,0.85,0.4
betaflight,RandomForest,0.3-0.3-0.3,0.65,0.3
mpv,RandomForest,0.4-0.4-0.4,0.66,0.32
light-4j,XGB,0.3-0.3-0.3,0.65,0.3
cleanflight,XGB,0.4-0.4-0.4,0.72,0.45
netdata,XGB,0.4-0.4-0.4,0.7,0.37
glide,RandomForest,0.4-0.4-0.4,0.59,0.19
SoftEtherVPN,RandomForest,0.3-0.3-0.3,0.58,0.06
janusgraph,RandomForest,0.5-0.5-0.5,0.61,0.06
samtools,RandomForest,0.7-0.7-0.7,0.79,0.32
Mekanism,XGB,0.5-0.5-0.5,0.62,0.17
checkstyle,XGB,0.4-0.4-0.4,0.61,0.09
hashcat,RandomForest,0.7-0.7-0.7,0.89,0.4
mockito,XGB,0.7-0.7-0.7,0.9,0.79
baritone,RandomForest,0.4-0.4-0.4,0.44,-0.13
gatk,RandomForest,0.3-0.3-0.3,0.47,-0.09
jabref,CatBoost,0.5-0.5-0.5,0.74,0.38
collectd,XGB,0.5-0.5-0.5,0.62,0.05
dynamorio,XGB,0.6-0.6-0.6,0.87,0.18
open5gs,XGB,0.3-0.3-0.3,0.58,0.14
pinpoint,RandomForest,0.3-0.3-0.3,0.74,0.41
gatk,RandomForest,0.7-0.7-0.7,0.99,0
shardingsphere-elasticjob,XGB,0.6-0.6-0.6,0.88,0.34
AdAway,XGB,0.7-0.7-0.7,0.87,0.7
grpc-java,RandomForest,0.4-0.4-0.4,0.79,0.52
FreeRDP,RandomForest,0.5-0.5-0.5,0.64,0.28
hashcat,RandomForest,0.5-0.5-0.5,0.69,0.36
samtools,XGB,0.4-0.4-0.4,0.54,0.13
jabref,RandomForest,0.3-0.3-0.3,0.65,0.24
druid,RandomForest,0.4-0.4-0.4,0.73,0.09
mockito,XGB,0.5-0.5-0.5,0.86,0.73
druid,CatBoost,0.5-0.5-0.5,0.88,0.19
lxc,RandomForest,0.3-0.3-0.3,0.7,0.19
dynamorio,XGB,0.3-0.3-0.3,0.65,0.31
i3,XGB,0.4-0.4-0.4,0.66,0.23
pygame,XGB,0.4-0.4-0.4,0.63,0.26
light-4j,RandomForest,0.7-0.7-0.7,0.89,0.36
AdAway,CatBoost,0.5-0.5-0.5,0.94,0.87
iceberg,XGB,0.4-0.4-0.4,0.85,0.7
nodemcu-firmware,XGB,0.5-0.5-0.5,0.7,0.37
glide,XGB,0.7-0.7-0.7,0.83,-0.09
pygame,XGB,0.5-0.5-0.5,0.68,0.31
libevent,XGB,0.3-0.3-0.3,0.63,0.01
light-4j,RandomForest,0.3-0.3-0.3,0.58,0.16
open5gs,XGB,0.6-0.6-0.6,0.8,0.28
Terasology,RandomForest,0.4-0.4-0.4,0.62,0.23
Rajawali,RandomForest,0.5-0.5-0.5,0.65,0.19
RxJava,XGB,0.6-0.6-0.6,0.93,0.04
baritone,XGB,0.7-0.7-0.7,0.88,0
jabref,XGB,0.5-0.5-0.5,0.7,0.31
flatpak,RandomForest,0.5-0.5-0.5,0.54,-0.04
klipper,CatBoost,0.5-0.5-0.5,0.5,-0.09
radare2,XGB,0.3-0.3-0.3,0.66,0.31
realm-java,RandomForest,0.3-0.3-0.3,0.57,0.16
collectd,CatBoost,0.5-0.5-0.5,0.67,0.03
samtools,CatBoost,0.5-0.5-0.5,0.5,-0.03
premake-core,RandomForest,0.3-0.3-0.3,0.73,0.48
hashcat,XGB,0.4-0.4-0.4,0.7,0.39
framework,RandomForest,0.7-0.7-0.7,0.86,0.04
light-4j,XGB,0.5-0.5-0.5,0.84,0.09
druid,XGB,0.6-0.6-0.6,0.92,0.02
grpc-java,XGB,0.4-0.4-0.4,0.8,0.55
sway,RandomForest,0.5-0.5-0.5,0.6,0.18
cleanflight,RandomForest,0.6-0.6-0.6,0.93,0.72
mpv,XGB,0.7-0.7-0.7,0.84,0.08
open5gs,RandomForest,0.3-0.3-0.3,0.64,0.27
pygame,XGB,0.7-0.7-0.7,0.95,0.39
checkstyle,XGB,0.3-0.3-0.3,0.59,0.17
glide,RandomForest,0.7-0.7-0.7,0.83,0.19
cleanflight,CatBoost,0.5-0.5-0.5,0.87,0.69
collectd,RandomForest,0.7-0.7-0.7,0.89,0.03
MinecraftForge,XGB,0.5-0.5-0.5,0.4,-0.3
checkstyle,RandomForest,0.5-0.5-0.5,0.82,0.23
zaproxy,RandomForest,0.6-0.6-0.6,0.74,0.25
FreeRDP,RandomForest,0.6-0.6-0.6,0.68,0.25
hashcat,RandomForest,0.4-0.4-0.4,0.68,0.35
lvgl,XGB,0.7-0.7-0.7,0.75,-0.05
lvgl,RandomForest,0.7-0.7-0.7,0.82,0.13
WinObjC,XGB,0.4-0.4-0.4,0.89,0.78
MinecraftForge,RandomForest,0.5-0.5-0.5,0.57,-0.08
presto,RandomForest,0.4-0.4-0.4,0.69,0.36
druid,XGB,0.4-0.4-0.4,0.78,0.22
AdAway,RandomForest,0.5-0.5-0.5,0.94,0.88
zfs,XGB,0.6-0.6-0.6,0.91,0.65
mpv,CatBoost,0.5-0.5-0.5,0.7,0.34
libevent,RandomForest,0.3-0.3-0.3,0.59,0.15
collectd,RandomForest,0.4-0.4-0.4,0.54,0.05
framework,XGB,0.6-0.6-0.6,0.75,0.18
druid,XGB,0.7-0.7-0.7,0.95,-0.02
jabref,RandomForest,0.6-0.6-0.6,0.78,0.38
inav,RandomForest,0.5-0.5-0.5,0.87,0.72
nodemcu-firmware,RandomForest,0.6-0.6-0.6,0.84,0.59
baritone,RandomForest,0.6-0.6-0.6,0.62,0.02
premake-core,RandomForest,0.6-0.6-0.6,0.76,0.25
iceberg,RandomForest,0.6-0.6-0.6,0.96,0.78
realm-java,RandomForest,0.7-0.7-0.7,0.96,0.42
mockito,RandomForest,0.7-0.7-0.7,0.95,0.89
klipper,RandomForest,0.7-0.7-0.7,0.97,0.88
pinpoint,XGB,0.3-0.3-0.3,0.75,0.42
klipper,XGB,0.3-0.3-0.3,0.8,0.6
jabref,RandomForest,0.4-0.4-0.4,0.65,0.3
lxc,XGB,0.3-0.3-0.3,0.7,0.09
graylog2-server,RandomForest,0.3-0.3-0.3,0.5,0.04
radare2,RandomForest,0.4-0.4-0.4,0.66,0.23
collectd,RandomForest,0.3-0.3-0.3,0.5,-0.01
klipper,XGB,0.4-0.4-0.4,0.43,-0.13
AdAway,XGB,0.6-0.6-0.6,0.82,0.62
klipper,RandomForest,0.6-0.6-0.6,0.77,0.25
sway,RandomForest,0.6-0.6-0.6,0.72,0.29
graylog2-server,CatBoost,0.5-0.5-0.5,0.73,0.46
presto,RandomForest,0.5-0.5-0.5,0.74,0.39
hashcat,XGB,0.5-0.5-0.5,0.65,0.27
grpc-java,RandomForest,0.3-0.3-0.3,0.76,0.48
collectd,XGB,0.4-0.4-0.4,0.52,0
open5gs,XGB,0.4-0.4-0.4,0.7,0.35
redis,RandomForest,0.4-0.4-0.4,0.59,0.15
hashcat,RandomForest,0.6-0.6-0.6,0.85,0.35
checkstyle,RandomForest,0.4-0.4-0.4,0.68,0.13
nng,RandomForest,0.7-0.7-0.7,0.92,-0.04